datetime,kWh,Zurich_shortwave_radiation,Zurich_soil_temperature_7_to_28cm
2021-09-01 00:00:00,5163269.876,0.0,16.042
2021-09-01 01:00:00,5077656.490875,0.0,15.892
2021-09-01 02:00:00,4931527.974125,0.0,16.042
2021-09-01 03:00:00,4787832.010625,0.0,15.942
2021-09-01 04:00:00,4703845.874,0.0,15.792001
2021-09-01 05:00:00,5120847.563750001,0.0,15.642
2021-09-01 06:00:00,5995427.1005,0.0,15.492001
2021-09-01 07:00:00,6703755.875374999,1.0,15.342
2021-09-01 08:00:00,7036098.7428749995,71.0,15.142
2021-09-01 09:00:00,7044373.284624999,224.0,15.042001
2021-09-01 10:00:00,7067459.69775,378.0,15.042001
2021-09-01 11:00:00,7204293.03825,534.0,15.092
2021-09-01 12:00:00,6766430.279999999,656.0,15.292001
2021-09-01 13:00:00,6691139.4925,738.0,15.492001
2021-09-01 14:00:00,6544798.426125,770.0,15.742001
2021-09-01 15:00:00,6477841.163125,684.0,16.042
2021-09-01 16:00:00,6381248.426125,669.0,16.342
2021-09-01 17:00:00,6347033.0594999995,531.0,16.592
2021-09-01 18:00:00,6462043.634125001,378.0,16.842
2021-09-01 19:00:00,6394032.069250001,204.0,17.042
2021-09-01 20:00:00,6402887.531125,53.0,17.092
2021-09-01 21:00:00,6129623.776374999,0.0,17.092
2021-09-01 22:00:00,5852318.1885,0.0,17.042
2021-09-01 23:00:00,5426539.0356250005,0.0,16.892
2021-09-02 00:00:00,5144845.7020000005,0.0,16.741999
2021-09-02 01:00:00,5099174.320875,0.0,16.592
2021-09-02 02:00:00,4930560.413125,0.0,16.542
2021-09-02 03:00:00,4780068.714625,0.0,16.342
2021-09-02 04:00:00,4682247.408,0.0,16.142
2021-09-02 05:00:00,5078417.59275,0.0,15.892
2021-09-02 06:00:00,5962911.7805,0.0,15.642
2021-09-02 07:00:00,6652014.163375,1.0,15.392
2021-09-02 08:00:00,6945613.021875,68.0,15.142
2021-09-02 09:00:00,6919522.775625001,224.0,14.992001
2021-09-02 10:00:00,7011433.29075,394.0,14.992001
2021-09-02 11:00:00,7162234.46125,548.0,15.042001
2021-09-02 12:00:00,6767609.223,667.0,15.192
2021-09-02 13:00:00,6740192.4025,741.0,15.442
2021-09-02 14:00:00,6610576.027124999,764.0,15.692
2021-09-02 15:00:00,6517736.6321250005,734.0,16.042
2021-09-02 16:00:00,6462592.886125,656.0,16.392
2021-09-02 17:00:00,6414641.097499999,525.0,16.692
2021-09-02 18:00:00,6548255.970124999,371.0,16.991999
2021-09-02 19:00:00,6468514.705250001,192.0,17.241999
2021-09-02 20:00:00,6433288.178125001,47.0,17.392
2021-09-02 21:00:00,6105964.017375,0.0,17.392
2021-09-02 22:00:00,5867825.9225,0.0,17.392
2021-09-02 23:00:00,5469386.915625,0.0,17.292
2021-09-03 00:00:00,5167609.976,0.0,17.142
2021-09-03 01:00:00,5071212.041874999,0.0,16.991999
2021-09-03 02:00:00,4961959.472125,0.0,16.892
2021-09-03 03:00:00,4803093.598625,0.0,16.692
2021-09-03 04:00:00,4674564.626,0.0,16.491999
2021-09-03 05:00:00,5063246.63675,0.0,16.242
2021-09-03 06:00:00,5915316.886499999,0.0,15.992001
2021-09-03 07:00:00,6614005.663375,0.0,15.742001
2021-09-03 08:00:00,6966443.425875,63.0,15.542001
2021-09-03 09:00:00,6999023.773624999,202.0,15.392
2021-09-03 10:00:00,7058769.245750001,374.0,15.392
2021-09-03 11:00:00,7246549.43525,528.0,15.442
2021-09-03 12:00:00,6808979.075,656.0,15.642
2021-09-03 13:00:00,6752389.5055,733.0,15.892
2021-09-03 14:00:00,6603755.872125,758.0,16.242
2021-09-03 15:00:00,6475559.052125,723.0,16.642
2021-09-03 16:00:00,6330946.278125,636.0,16.991999
2021-09-03 17:00:00,6364966.7085,510.0,17.392
2021-09-03 18:00:00,6454004.166125,364.0,17.692
2021-09-03 19:00:00,6355913.561249999,191.0,17.942
2021-09-03 20:00:00,6309312.601125,44.0,18.092
2021-09-03 21:00:00,5993076.752374999,0.0,18.142
2021-09-03 22:00:00,5788917.1435,0.0,18.092
2021-09-03 23:00:00,5426788.719625,0.0,17.991999
2021-09-04 00:00:00,5191783.569,0.0,17.842
2021-09-04 01:00:00,5009694.125375,0.0,17.642
2021-09-04 02:00:00,4889390.578375,0.0,17.442
2021-09-04 03:00:00,4646412.160875,0.0,17.192
2021-09-04 04:00:00,4404173.3935,0.0,16.942
2021-09-04 05:00:00,4463039.56575,0.0,16.741999
2021-09-04 06:00:00,4777770.5395,0.0,16.491999
2021-09-04 07:00:00,4951587.3415,0.0,16.292
2021-09-04 08:00:00,5277884.366125,59.0,16.092
2021-09-04 09:00:00,5521655.751250001,206.0,15.992001
2021-09-04 10:00:00,5608137.92375,365.0,15.992001
2021-09-04 11:00:00,5678898.664375,520.0,16.142
2021-09-04 12:00:00,5603648.069375001,652.0,16.342
2021-09-04 13:00:00,5484326.259125,732.0,16.592
2021-09-04 14:00:00,5401638.780125,725.0,16.792
2021-09-04 15:00:00,5351417.771125,663.0,17.142
2021-09-04 16:00:00,5367174.614875001,592.0,17.491999
2021-09-04 17:00:00,5487969.206250001,478.0,17.842
2021-09-04 18:00:00,5615558.304500001,268.0,18.092
2021-09-04 19:00:00,5608540.619124999,141.0,18.292
2021-09-04 20:00:00,5614859.2615,35.0,18.392
2021-09-04 21:00:00,5418157.718875,0.0,18.392
2021-09-04 22:00:00,5284666.153,0.0,18.342
2021-09-04 23:00:00,5017259.084749999,0.0,18.241999
2021-09-05 00:00:00,4799174.078,0.0,18.092
2021-09-05 01:00:00,4606492.18375,0.0,17.892
2021-09-05 02:00:00,4518452.351625,0.0,17.692
2021-09-05 03:00:00,4364067.294,0.0,17.442
2021-09-05 04:00:00,4145480.798125,0.0,17.192
2021-09-05 05:00:00,4148571.960125,0.0,16.942
2021-09-05 06:00:00,4257652.368375001,0.0,16.692
2021-09-05 07:00:00,4335527.9615,0.0,16.442
2021-09-05 08:00:00,4572460.73175,59.0,16.242
2021-09-05 09:00:00,4846401.248749999,207.0,16.142
2021-09-05 10:00:00,4984645.237,373.0,16.142
2021-09-05 11:00:00,5108139.055375,530.0,16.242
2021-09-05 12:00:00,5076020.38975,651.0,16.442
2021-09-05 13:00:00,4869237.953125,725.0,16.741999
2021-09-05 14:00:00,4759516.3476249995,754.0,16.991999
2021-09-05 15:00:00,4720502.743124999,728.0,17.392
2021-09-05 16:00:00,4795241.783125,641.0,17.741999
2021-09-05 17:00:00,5071721.1192499995,505.0,18.042
2021-09-05 18:00:00,5376515.87575,337.0,18.342
2021-09-05 19:00:00,5487647.277875001,153.0,18.542
2021-09-05 20:00:00,5600241.553875,35.0,18.692
2021-09-05 21:00:00,5375375.7225,0.0,18.692
2021-09-05 22:00:00,5223799.078,0.0,18.642
2021-09-05 23:00:00,4906573.292625,0.0,18.491999
2021-09-06 00:00:00,4698244.043,0.0,18.342
2021-09-06 01:00:00,4582325.420875,0.0,18.192
2021-09-06 02:00:00,4557968.262125,0.0,18.042
2021-09-06 03:00:00,4440334.829624999,0.0,17.792
2021-09-06 04:00:00,4378131.082,0.0,17.592
