number,value,datetime_start,datetime_complete,duration,params_batch_size,params_decay_patience,params_decay_rate,params_initial_learning_rate,params_num_layers,params_units_per_layer,state
0,240809.039296875,2024-12-08 00:14:29.882780,2024-12-08 00:58:04.331993,0 days 00:43:34.449213,16,74,0.5829588526583609,2.584741175122496e-06,4,128,COMPLETE
1,346122.85328125,2024-12-08 00:58:04.331993,2024-12-08 01:03:32.021894,0 days 00:05:27.689901,128,80,0.6723866423025997,0.0021572592532991667,1,16,COMPLETE
2,244547.05734375,2024-12-08 01:03:32.037520,2024-12-08 01:26:24.281932,0 days 00:22:52.244412,8,67,0.6640021990050368,0.0007420357381853224,5,128,COMPLETE
3,355183.3303125,2024-12-08 01:26:24.281932,2024-12-08 01:51:48.331383,0 days 00:25:24.049451,8,43,0.74651414975024,0.005857218899924545,6,64,COMPLETE
4,228524.490234375,2024-12-08 01:51:48.331383,2024-12-08 02:03:58.170657,0 days 00:12:09.839274,32,93,0.6941029085520224,0.00027279833661854064,3,128,COMPLETE
5,230143.633125,2024-12-08 02:03:58.170657,2024-12-08 02:23:29.753342,0 days 00:19:31.582685,16,85,0.5607157355486483,7.850505412851876e-05,5,256,COMPLETE
6,239495.9953125,2024-12-08 02:23:29.753342,2024-12-08 02:54:00.029784,0 days 00:30:30.276442,128,67,0.6153551839348421,6.514927068324778e-06,6,256,COMPLETE
7,317211.033125,2024-12-08 02:54:00.029784,2024-12-08 03:25:46.609499,0 days 00:31:46.579715,16,10,0.5292601065074914,1.3999530649724416e-06,2,64,COMPLETE
8,256618.8571875,2024-12-08 03:25:46.609499,2024-12-08 04:07:45.908294,0 days 00:41:59.298795,128,70,0.7223212903030944,1.8218255222764975e-06,2,512,COMPLETE
9,420388.84265625,2024-12-08 04:07:45.908294,2024-12-08 04:15:40.775091,0 days 00:07:54.866797,64,35,0.7531649926958541,2.4839928266137134e-05,3,16,COMPLETE
10,284169.0090625,2024-12-08 04:15:40.775091,2024-12-08 04:24:32.557669,0 days 00:08:51.782578,32,96,0.8970981387168155,0.00035142498467043924,3,32,COMPLETE
11,235265.973046875,2024-12-08 04:24:32.557669,2024-12-08 04:40:30.823414,0 days 00:15:58.265745,32,100,0.8313299348396078,8.870833490410599e-05,4,256,COMPLETE
12,241135.083671875,2024-12-08 04:40:30.823414,2024-12-08 04:56:16.760459,0 days 00:15:45.937045,512,88,0.5173095650729,7.542427887148716e-05,5,256,COMPLETE
13,232176.28390625,2024-12-08 04:56:16.760459,2024-12-08 05:04:58.486990,0 days 00:08:41.726531,32,52,0.6038795831573105,0.00032312359520704373,5,128,COMPLETE
14,259988.91609375,2024-12-08 05:04:58.486990,2024-12-08 05:30:52.209233,0 days 00:25:53.722243,16,87,0.95896321494381,1.2891987318968536e-05,4,32,COMPLETE
15,236901.279765625,2024-12-08 05:30:52.209233,2024-12-08 05:50:01.384680,0 days 00:19:09.175447,64,86,0.8195530936202142,3.6361378670989814e-05,2,128,COMPLETE
16,239970.5090625,2024-12-08 05:50:01.384680,2024-12-08 05:58:59.887477,0 days 00:08:58.502797,512,57,0.6693690106485936,0.00022642339600592332,3,512,COMPLETE
17,234465.026484375,2024-12-08 05:58:59.887477,2024-12-08 06:33:08.923089,0 days 00:34:09.035612,16,22,0.5750032301242524,0.0011237623934533616,5,256,COMPLETE
18,340493.68171875,2024-12-08 06:33:08.923089,2024-12-08 06:41:14.450358,0 days 00:08:05.527269,32,95,0.8045754200119217,0.00983659660787657,1,128,COMPLETE
19,241082.81890625,2024-12-08 06:41:14.450358,2024-12-08 07:03:40.189382,0 days 00:22:25.739024,16,79,0.6443293594100579,0.00010295005693522647,4,256,COMPLETE
20,245615.58203125,2024-12-08 07:03:40.189382,2024-12-08 07:41:08.001196,0 days 00:37:27.811814,32,60,0.5002397647469802,0.001997598642118258,6,512,COMPLETE
21,226256.55265625,2024-12-08 07:41:08.001196,2024-12-08 07:52:56.616189,0 days 00:11:48.614993,32,44,0.5724137638484404,0.00033003357956276505,5,128,COMPLETE
22,226503.3521875,2024-12-08 07:52:56.624306,2024-12-08 08:05:47.248856,0 days 00:12:50.624550,32,48,0.5535827361167173,0.00019919749583741385,5,128,COMPLETE
23,224907.032421875,2024-12-08 08:05:47.248856,2024-12-08 08:20:04.416129,0 days 00:14:17.167273,32,42,0.5526528740998827,0.0002044962109038566,3,128,COMPLETE
24,223016.325859375,2024-12-08 08:20:04.416129,2024-12-08 08:30:08.448632,0 days 00:10:04.032503,32,40,0.5432043003870151,0.0005584628412102691,4,128,COMPLETE
25,227123.19921875,2024-12-08 08:30:08.448632,2024-12-08 08:41:34.449735,0 days 00:11:26.001103,32,36,0.6133482328163352,0.0006785495424610089,4,128,COMPLETE
26,225225.79015625,2024-12-08 08:41:34.449735,2024-12-08 08:50:57.736455,0 days 00:09:23.286720,32,31,0.5359603855434147,0.0024990378437225506,3,128,COMPLETE
27,232979.447890625,2024-12-08 08:50:57.736455,2024-12-08 09:01:18.575768,0 days 00:10:20.839313,32,28,0.5260645587873427,0.0038993774481823474,2,128,COMPLETE
28,227255.5925,2024-12-08 09:01:18.575768,2024-12-08 09:07:31.547128,0 days 00:06:12.971360,32,21,0.6268759669443966,0.001586301670553226,3,128,COMPLETE
29,246076.63296875,2024-12-08 09:07:31.562757,2024-12-08 09:14:53.881962,0 days 00:07:22.319205,512,35,0.5502237518524856,0.0006715436828044289,4,128,COMPLETE
