pred,kWh,p,q,P,Q
4970758.767876789,4992377.298,0,0,0,0
4777744.165258966,4781911.091375001,0,0,0,0
4634590.884784006,4645118.083374999,0,0,0,0
4433924.885794736,4447286.931875001,0,0,0,0
4217910.459034219,4221513.2945,0,0,0,0
4213914.798684049,4275782.98675,0,0,0,0
4399078.49221015,4442472.4065000005,0,0,0,0
4550992.46188128,4628467.8065,0,0,0,0
4829321.049617182,4891606.903124999,0,0,0,0
5038053.085191496,5078900.5622499995,0,0,0,0
5091120.672093611,5133744.50375,0,0,0,0
5123559.992724314,5228612.564375,0,0,0,0
5045281.061418459,5192377.946375,0,0,0,0
4940092.8325918615,5070856.218125,0,0,0,0
4840678.178412877,5059528.241125,0,0,0,0
4744544.650246084,5024532.1431249995,0,0,0,0
4789828.786356781,5084404.780875,0,0,0,0
4918404.016106669,5193279.17925,0,0,0,0
5078736.367878124,5285534.4415,0,0,0,0
5070509.37148416,5231946.739125,0,0,0,0
5030122.88042853,5102613.2715,0,0,0,0
4997028.776974611,5014024.263875,0,0,0,0
5080639.936475087,5019488.309,0,0,0,0
4844535.893662572,4792773.51675,0,0,0,0
4521526.33746548,4588989.187999999,0,0,0,0
4365663.893222645,4471721.92175,0,0,0,0
4238800.984083332,4321234.912625,0,0,0,0
4065092.5203617364,4126455.9790000003,0,0,0,0
3861615.4271012247,3931752.433125,0,0,0,0
3773182.0616119504,3857963.219125,0,0,0,0
3845116.3621344864,3917679.9483749997,0,0,0,0
3896479.4568583816,4073717.6975000002,0,0,0,0
4115358.5076993853,4331445.649750001,0,0,0,0
4328649.433118291,4594054.70975,0,0,0,0
4409680.940551564,4715863.998,0,0,0,0
4476511.184287727,4846766.171375001,0,0,0,0
4418419.046814546,4809639.10775,0,0,0,0
4301340.17138581,4617898.736125,0,0,0,0
4109062.488058254,4535643.349625,0,0,0,0
4150354.482145965,4535184.203125,0,0,0,0
4227454.3641939685,4566927.933125,0,0,0,0
4506870.3772153035,4777017.23025,0,0,0,0
4807617.206721142,5028645.63275,0,0,0,0
4923613.992385916,5059314.291875,0,0,0,0
4947921.410227835,5044363.519875,0,0,0,0
4945492.16853134,5012898.9125,0,0,0,0
4981961.0512685105,5050708.621,0,0,0,0
4661130.840479564,4761913.497625,0,0,0,0
4465804.1719213575,4531579.652999999,0,0,0,0
4312411.638588853,4411999.596875,0,0,0,0
4250629.678446189,4333519.314125,0,0,0,0
4160472.7398495898,4204024.322625,0,0,0,0
4103454.6978462264,4128770.867,0,0,0,0
4433102.528210714,4465603.84675,0,0,0,0
5190399.299240395,5238514.2405,0,0,0,0
5877097.962225564,5975573.137375,0,0,0,0
6316602.18021927,6330126.298874999,0,0,0,0
6385965.588861756,6339004.248625001,0,0,0,0
6473751.070414878,6451519.0967500005,0,0,0,0
6637382.500002027,6659334.7042499995,0,0,0,0
6322746.868993044,6297372.454,0,0,0,0
6382951.4519826695,6263059.0505,0,0,0,0
6290310.514275178,6126278.593125001,0,0,0,0
6133817.00028538,6012249.762124999,0,0,0,0
6063460.784759715,5958786.069125,0,0,0,0
6028416.343430072,5909348.124500001,0,0,0,0
6079325.046876088,5983329.107125,0,0,0,0
6002569.943445452,5874202.09325,0,0,0,0
5770571.71709016,5718628.883125001,0,0,0,0
5635698.571570449,5656686.241375,0,0,0,0
5556652.502310447,5602387.7265,0,0,0,0
5182755.2584354505,5194917.779625,0,0,0,0
4796736.288764074,4984820.305,0,0,0,0
4637032.7410317585,4824486.195875,0,0,0,0
4467647.343378358,4642583.113125,0,0,0,0
4275277.5346637,4478557.040624999,0,0,0,0
4155461.862646021,4365142.476,0,0,0,0
4489027.2943960205,4722788.48875,0,0,0,0
5173744.122183688,5384357.5825,0,0,0,0
5859244.6308458,6066712.083375,0,0,0,0
6272008.701613769,6393172.818875,0,0,0,0
6291298.063639633,6424697.614625,0,0,0,0
6305325.293853223,6493071.5057500005,0,0,0,0
6499078.031490795,6685052.17625,0,0,0,0
