loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/h,config/step_size,config/val_check_steps,config/max_steps,config/scaler_type,config/input_size,config/n_harmonics,config/n_polynomials,config/stack_types,config/n_blocks,config/n_hidden,config/hidden_size,config/dropout_prob_theta,config/activation,config/learning_rate,config/num_lr_decays,config/early_stop_patience_steps,config/batch_size,logdir
949966.75,1732982398,,False,1,4660a0bd,2024-11-30_16-59-58,745.4767656326294,745.4767656326294,35428,MW-PRD-197955,127.0.0.1,745.4767656326294,1,24,24,1,2000,identity,72,4,3,"['identity', 'trend', 'seasonality']","[4, 5, 3]",2,8,0.42433856219259386,Tanh,0.00018772177424968277,9,100,64,4660a0bd
949218.5,1732990475,,False,1,8e092a67,2024-11-30_19-14-35,8811.927818775177,8811.927818775177,32720,MW-PRD-197955,127.0.0.1,8811.927818775177,1,24,24,1,2000,identity,144,7,3,"['trend', 'identity', 'seasonality']","[5, 5, 2]",3,128,0.2806817130678678,Sigmoid,0.00023477020739982304,3,100,16,8e092a67
818375.125,1732983938,,False,1,4e868608,2024-11-30_17-25-38,2259.2060136795044,2259.2060136795044,28028,MW-PRD-197955,127.0.0.1,2259.2060136795044,1,24,24,1,2000,identity,144,2,2,"['trend', 'identity', 'seasonality']","[3, 3, 3]",3,16,0.4151130854713264,LeakyReLU,4.963208751169588e-07,2,100,32,4e868608
897558.625,1732983654,,False,1,96294087,2024-11-30_17-20-54,1961.7905893325806,1961.7905893325806,13584,MW-PRD-197955,127.0.0.1,1961.7905893325806,1,24,24,1,2000,identity,48,3,3,"['trend', 'identity', 'seasonality']","[5, 4, 3]",3,64,0.2287713395269243,ReLU,2.6778767676880176e-07,6,100,256,96294087
943631.5,1732985411,,False,1,0dcbb819,2024-11-30_17-50-11,3702.7526733875275,3702.7526733875275,38736,MW-PRD-197955,127.0.0.1,3702.7526733875275,1,24,24,1,2000,identity,96,7,9,"['seasonality', 'identity', 'trend']","[5, 2, 4]",2,64,0.0958602841967422,Sigmoid,0.005524903552153875,8,100,16,0dcbb819
392657.375,1732982960,,False,1,d7631fd7,2024-11-30_17-09-20,1234.8317289352417,1234.8317289352417,39732,MW-PRD-197955,127.0.0.1,1234.8317289352417,1,24,24,1,2000,identity,48,7,1,"['seasonality', 'trend', 'identity']","[2, 4, 5]",5,32,0.28697208715129113,LeakyReLU,4.580101819077814e-05,0,100,64,d7631fd7
307667.0,1732984548,,False,1,50c5eb7a,2024-11-30_17-35-48,2805.6903672218323,2805.6903672218323,22728,MW-PRD-197955,127.0.0.1,2805.6903672218323,1,24,24,1,2000,identity,144,8,9,"['identity', 'seasonality', 'trend']","[1, 4, 2]",2,64,0.4189729021617405,ReLU,3.456655204903852e-05,2,100,16,50c5eb7a
594632.375,1732983944,,False,1,efea954d,2024-11-30_17-25-44,2182.0303325653076,2182.0303325653076,10724,MW-PRD-197955,127.0.0.1,2182.0303325653076,1,24,24,1,2000,identity,144,1,1,"['seasonality', 'trend', 'identity']","[5, 4, 1]",5,8,0.002828167653612046,ReLU,7.127799856858917e-06,0,100,64,efea954d
685945.8125,1732987405,,False,1,ffd519f5,2024-11-30_18-23-25,4989.339057683945,4989.339057683945,23904,MW-PRD-197955,127.0.0.1,4989.339057683945,1,24,24,1,2000,identity,144,3,8,"['identity', 'seasonality', 'trend']","[1, 3, 3]",3,128,0.4891748148138932,ReLU,1.1999369324373886e-06,7,100,256,ffd519f5
499622.3125,1732984620,,False,1,c1103441,2024-11-30_17-37-00,1642.3956444263458,1642.3956444263458,4700,MW-PRD-197955,127.0.0.1,1642.3956444263458,1,24,24,1,2000,identity,144,10,2,"['trend', 'seasonality', 'identity']","[2, 4, 4]",3,8,0.08200728172193877,ReLU,5.976563579822207e-05,7,100,16,c1103441
