alpha,loss
1.0,370638.7805888363
2.0,315952.48210259376
3.0,295883.9777446928
4.0,286100.8905720339
5.0,280679.45182634366
6.0,277450.87648572336
7.0,275446.24648956966
8.0,274176.63613498694
9.0,273373.4749057477
10.0,272879.4809096521
11.0,272597.74472514685
12.0,272466.01078350615
13.0,272442.8560267634
14.0,272499.87728610274
15.0,272617.084211336
16.0,272780.08238460025
17.0,272978.295982809
18.0,273203.81487819296
19.0,273450.62814643065
20.0,273714.103085174
21.0,273990.6239575722
22.0,274277.336895976
23.0,274571.9667497162
24.0,274872.68356374704
25.0,275178.00385970797
26.0,275486.7166923977
27.0,275797.8275920928
28.0,276110.5155878584
29.0,276424.0999145667
30.0,276738.0139702554
31.0,277051.7847598886
32.0,277365.01653218473
33.0,277677.37765117665
34.0,277988.5899852813
35.0,278298.4202719073
36.0,278606.6730445109
37.0,278913.1848044324
38.0,279217.81919146824
39.0,279520.4629608744
40.0,279821.02261572855
41.0,280119.4215749031
42.0,280415.5977812169
43.0,280709.50167329
44.0,281001.0944593311
45.0,281290.34664281236
46.0,281577.236759148
47.0,281861.7502899484
48.0,282143.8787272034
49.0,282423.6187646692
50.0,282700.97159739863
51.0,282975.9423136268
52.0,283248.5393658078
53.0,283518.7741095112
54.0,283786.66040090664
55.0,284052.2142447585
56.0,284315.45348620514
57.0,284576.3975405079
58.0,284835.06715586333
59.0,285091.48420501815
60.0,285345.6715020381
61.0,285597.6526411154
62.0,285847.4518546584
63.0,286095.0938883565
64.0,286340.60389116424
65.0,286584.0073183788
66.0,286825.3298463433
67.0,287064.5972973714
68.0,287301.8355736996
69.0,287537.07059946767
70.0,287770.3282697826
71.0,288001.6344060749
72.0,288231.014717045
73.0,288458.4947645531
74.0,288684.09993393824
75.0,288907.8554082295
76.0,289129.7861458826
77.0,289349.91686156805
78.0,289568.2720097756
79.0,289784.8757708343
80.0,289999.75203915575
81.0,290212.924413406
82.0,290424.4161884106
83.0,290634.25034863333
84.0,290842.44956299965
85.0,291049.03618094884
86.0,291254.03222959035
87.0,291457.45941179636
88.0,291659.3391051695
89.0,291859.6923617627
90.0,292058.5399084662
91.0,292255.9021479753
92.0,292451.79916031304
93.0,292646.25070477056
94.0,292839.2762222645
95.0,293030.89483805787
96.0,293221.12536475825
97.0,293409.9863056079
98.0,293597.49585797125
99.0,293783.67191704904
100.0,293968.53207972576
