loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/initial_learning_rate,config/decay_patience,config/decay_rate,config/num_layers,config/units_per_layer,config/activation,config/batch_size,config/epochs,config/h,config/patience,logdir
5192355.72,1732822480,,False,1,28695fbf,2024-11-28_20-34-40,470.9409132003784,470.9409132003784,24284,MW-PRD-197955,127.0.0.1,470.9409132003784,1,1e-06,50,0.6177783234907158,3,16,ReLU,64,2000,24,200,28695fbf
290504.170625,1732822139,,False,1,78c5b3d8,2024-11-28_20-28-59,121.48226690292358,121.48226690292358,17372,MW-PRD-197955,127.0.0.1,121.48226690292358,1,0.01,10,0.5230294800659466,1,512,ReLU,64,2000,24,200,78c5b3d8
280501.66109375,1732822308,,False,1,a8125cc6,2024-11-28_20-31-48,278.58407735824585,278.58407735824585,14272,MW-PRD-197955,127.0.0.1,278.58407735824585,1,0.01,100,0.7169077389725829,2,128,ReLU,64,2000,24,200,a8125cc6
296365.75390625,1732822341,,False,1,41fbf521,2024-11-28_20-32-21,297.9814465045929,297.9814465045929,30488,MW-PRD-197955,127.0.0.1,297.9814465045929,1,0.01,50,0.7944703707770955,2,32,ReLU,16,2000,24,200,41fbf521
398514.473125,1732822753,,False,1,50f5ec56,2024-11-28_20-39-13,695.2641596794128,695.2641596794128,34632,MW-PRD-197955,127.0.0.1,695.2641596794128,1,1e-06,25,0.7066512166246193,3,512,ReLU,64,2000,24,200,50f5ec56
337646.28359375,1732823075,,False,1,b28f28f1,2024-11-28_20-44-35,999.2829880714417,999.2829880714417,18676,MW-PRD-197955,127.0.0.1,999.2829880714417,1,1e-05,50,0.9519932456041937,1,64,ReLU,8,2000,24,200,b28f28f1
416586.93859375,1732822828,,False,1,b99f5313,2024-11-28_20-40-28,731.4258527755737,731.4258527755737,7752,MW-PRD-197955,127.0.0.1,731.4258527755737,1,1e-05,25,0.684311845740166,4,16,ReLU,16,2000,24,200,b99f5313
261927.600546875,1732822687,,False,1,572dbfd8,2024-11-28_20-38-07,567.6521921157837,567.6521921157837,3944,MW-PRD-197955,127.0.0.1,567.6521921157837,1,0.001,100,0.9863652866003351,1,64,ReLU,8,2000,24,200,572dbfd8
376770.01078125,1732823081,,False,1,8ff64176,2024-11-28_20-44-41,939.7937986850739,939.7937986850739,23772,MW-PRD-197955,127.0.0.1,939.7937986850739,1,1e-06,10,0.5807311252888094,4,256,ReLU,16,2000,24,200,8ff64176
465850.90015625,1732822737,,False,1,628c1f9d,2024-11-28_20-38-57,572.867915391922,572.867915391922,34164,MW-PRD-197955,127.0.0.1,572.867915391922,1,1e-05,25,0.5177010819421054,3,32,ReLU,64,2000,24,200,628c1f9d
